latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.989452,-6.8539124,57.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),et0_fao_evapotranspiration (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³)
1990-11-17,18.2,0.00,3.58,0.154,0.117
1990-11-18,18.0,0.00,2.94,0.153,0.112
1990-11-19,16.2,0.00,2.15,0.153,0.109
1990-11-20,15.3,0.00,1.81,0.153,0.108
1990-11-21,15.3,6.40,1.60,0.153,0.120
1990-11-22,14.1,2.70,1.83,0.160,0.208
1990-11-23,12.3,0.90,1.62,0.161,0.224
1990-11-24,14.3,0.20,2.07,0.160,0.216
1990-11-25,15.1,18.50,1.42,0.167,0.295
1990-11-26,13.7,10.30,1.44,0.183,0.376
1990-11-27,12.8,1.00,1.56,0.187,0.345
1990-11-28,12.4,0.20,1.49,0.187,0.314
1990-11-29,12.5,0.00,1.55,0.186,0.297
1990-11-30,12.1,0.00,1.63,0.185,0.281
1990-12-01,13.4,0.00,2.02,0.184,0.267
1990-12-02,15.1,0.00,2.26,0.184,0.254
1990-12-03,16.1,0.00,1.92,0.182,0.242
1990-12-04,17.2,4.60,1.65,0.182,0.247
1990-12-05,16.7,7.80,0.97,0.189,0.338
1990-12-06,15.6,9.40,1.00,0.198,0.382
1990-12-07,15.4,0.10,1.50,0.202,0.359
1990-12-08,15.9,19.70,0.83,0.205,0.364
1990-12-09,13.4,20.80,1.55,0.232,0.412
1990-12-10,11.2,4.10,1.40,0.233,0.390
1990-12-11,11.7,2.20,1.41,0.238,0.400
1990-12-12,12.1,0.00,1.39,0.238,0.373
1990-12-13,11.4,0.00,1.64,0.237,0.357
1990-12-14,12.4,0.00,1.57,0.236,0.345
1990-12-15,12.2,0.00,1.55,0.235,0.334
1990-12-16,11.8,4.40,1.59,0.235,0.338
1990-12-17,13.1,2.60,1.52,0.238,0.364
1990-12-18,12.8,1.40,1.44,0.239,0.364
1990-12-19,12.0,1.60,1.22,0.241,0.369
1990-12-20,10.6,1.20,1.12,0.242,0.363
1990-12-21,11.9,0.00,1.74,0.242,0.349
1990-12-22,11.6,0.00,1.70,0.241,0.332
1990-12-23,11.6,0.30,1.40,0.240,0.325
1990-12-24,12.0,0.80,1.32,0.240,0.328
1990-12-25,12.2,0.90,1.25,0.240,0.329
1990-12-26,13.6,3.00,0.82,0.242,0.341
1990-12-27,13.5,0.00,1.33,0.243,0.343
