latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.919155,-5.498749,526.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),et0_fao_evapotranspiration (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³)
1990-07-15,20.8,0.00,5.60,0.316,0.266
1990-07-16,24.0,0.00,7.68,0.316,0.266
1990-07-17,25.5,0.00,7.66,0.315,0.266
1990-07-18,27.9,0.00,6.71,0.314,0.265
1990-07-19,28.1,0.00,6.22,0.313,0.265
1990-07-20,29.0,0.70,6.18,0.312,0.267
1990-07-21,29.4,0.00,5.37,0.311,0.270
1990-07-22,29.2,0.60,6.30,0.310,0.272
1990-07-23,29.9,0.90,6.21,0.310,0.277
1990-07-24,29.6,1.90,5.89,0.310,0.285
1990-07-25,27.4,0.70,5.54,0.310,0.295
1990-07-26,26.1,0.00,5.62,0.309,0.293
1990-07-27,25.4,0.00,6.11,0.308,0.288
1990-07-28,22.6,0.00,5.43,0.307,0.285
1990-07-29,25.3,0.00,5.90,0.306,0.282
1990-07-30,28.2,0.00,6.24,0.305,0.279
1990-07-31,28.6,0.00,6.12,0.305,0.277
1990-08-01,29.2,0.00,6.09,0.304,0.275
1990-08-02,30.1,0.00,6.39,0.303,0.273
1990-08-03,30.6,0.00,6.53,0.302,0.272
1990-08-04,30.5,0.00,8.20,0.301,0.270
1990-08-05,29.2,0.00,8.91,0.301,0.269
1990-08-06,28.8,0.00,7.54,0.300,0.268
1990-08-07,27.2,0.00,6.70,0.299,0.267
1990-08-08,25.9,0.00,6.17,0.299,0.266
1990-08-09,26.6,0.00,6.22,0.298,0.266
1990-08-10,27.9,0.00,6.26,0.297,0.265
1990-08-11,29.3,0.00,6.00,0.297,0.265
1990-08-12,28.5,0.70,5.92,0.297,0.268
1990-08-13,28.6,0.00,6.02,0.296,0.272
1990-08-14,26.3,0.00,5.59,0.296,0.271
1990-08-15,25.1,0.00,5.84,0.295,0.270
1990-08-16,24.7,0.00,5.86,0.295,0.269
1990-08-17,25.7,0.00,5.92,0.295,0.268
