latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
30.896309,-6.9230957,1112.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³),et0_fao_evapotranspiration (mm)
1990-07-05,29.5,0.10,0.156,0.057,6.72
1990-07-06,28.9,0.20,0.156,0.057,7.92
1990-07-07,28.9,0.00,0.156,0.057,7.92
1990-07-08,30.0,0.00,0.156,0.057,8.33
1990-07-09,30.6,0.00,0.156,0.057,9.40
1990-07-10,31.8,0.00,0.156,0.057,8.66
1990-07-11,30.0,0.00,0.156,0.057,6.85
1990-07-12,29.4,0.00,0.156,0.057,8.26
1990-07-13,29.6,0.00,0.155,0.056,8.05
1990-07-14,29.3,0.00,0.155,0.056,8.01
1990-07-15,28.6,0.00,0.155,0.056,8.43
1990-07-16,28.8,0.00,0.155,0.056,8.58
1990-07-17,30.1,0.00,0.155,0.056,8.32
1990-07-18,30.1,0.00,0.155,0.056,7.66
1990-07-19,30.1,0.00,0.155,0.057,8.28
1990-07-20,29.0,0.10,0.155,0.058,6.58
1990-07-21,28.8,0.00,0.155,0.058,6.44
1990-07-22,28.0,0.20,0.155,0.059,6.28
1990-07-23,28.5,0.00,0.155,0.059,7.24
1990-07-24,29.8,0.00,0.155,0.058,7.07
1990-07-25,27.5,0.00,0.155,0.058,6.53
1990-07-26,26.9,0.00,0.154,0.057,7.44
1990-07-27,26.9,0.00,0.154,0.058,6.16
1990-07-28,27.9,0.00,0.154,0.059,7.05
1990-07-29,28.9,0.20,0.154,0.059,7.42
1990-07-30,31.4,0.00,0.154,0.060,7.69
1990-07-31,31.9,0.00,0.154,0.058,7.62
1990-08-01,31.2,0.00,0.154,0.057,6.93
1990-08-02,30.0,0.00,0.154,0.058,6.59
1990-08-03,28.6,0.00,0.154,0.059,6.61
1990-08-04,28.7,0.10,0.154,0.058,5.97
1990-08-05,28.7,0.00,0.154,0.058,7.51
1990-08-06,27.3,0.00,0.154,0.059,6.96
1990-08-07,26.7,0.00,0.154,0.063,6.70
1990-08-08,27.9,0.00,0.154,0.059,7.22
1990-08-09,28.4,0.00,0.153,0.058,7.72
1990-08-10,28.9,0.10,0.153,0.057,7.80
1990-08-11,29.1,0.00,0.153,0.057,7.15
1990-08-12,29.1,0.00,0.153,0.057,6.78
1990-08-13,28.8,0.00,0.153,0.057,6.85
1990-08-14,28.6,0.20,0.153,0.058,6.52
1990-08-15,28.6,0.00,0.153,0.058,6.53
1990-08-16,29.1,0.10,0.153,0.058,7.16
1990-08-17,29.2,0.20,0.153,0.058,7.16
1990-08-18,29.1,0.30,0.153,0.063,6.87
1990-08-19,27.8,0.00,0.153,0.068,6.63
1990-08-20,28.6,0.00,0.153,0.063,6.91
1990-08-21,27.9,0.10,0.153,0.063,6.89
1990-08-22,27.8,0.00,0.153,0.061,7.56
1990-08-23,28.5,0.00,0.152,0.058,7.08
1990-08-24,28.3,0.00,0.152,0.057,6.59
1990-08-25,28.8,0.00,0.152,0.057,6.29
1990-08-26,28.2,0.00,0.152,0.058,6.48
1990-08-27,27.7,0.00,0.152,0.060,6.17
1990-08-28,26.9,0.00,0.152,0.059,6.34
1990-08-29,27.3,0.00,0.152,0.057,7.15
1990-08-30,27.1,0.00,0.151,0.057,7.53
1990-08-31,25.8,0.00,0.151,0.057,7.22
1990-09-01,25.3,0.00,0.151,0.057,6.45
1990-09-02,24.7,0.00,0.151,0.057,6.79
1990-09-03,25.1,0.00,0.151,0.057,6.71
1990-09-04,25.2,0.00,0.151,0.057,7.30
1990-09-05,26.5,0.00,0.151,0.057,7.72
1990-09-06,25.0,0.00,0.151,0.057,7.42
1990-09-07,25.7,0.00,0.151,0.057,7.48
1990-09-08,22.7,0.00,0.151,0.057,6.82
1990-09-09,23.9,0.00,0.151,0.057,8.03
1990-09-10,24.9,0.10,0.152,0.066,5.61
1990-09-11,24.5,0.50,0.152,0.067,4.99
1990-09-12,24.0,0.20,0.152,0.071,4.86
1990-09-13,24.8,0.00,0.152,0.069,4.93
1990-09-14,25.8,0.00,0.152,0.063,6.05
