latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.56766,-7.5836487,23.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),et0_fao_evapotranspiration (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³)
1990-08-03,27.5,0.00,6.09,0.165,0.132
1990-08-04,28.4,0.00,6.52,0.165,0.132
1990-08-05,30.0,0.00,9.03,0.164,0.132
1990-08-06,28.0,0.00,7.43,0.164,0.132
1990-08-07,24.0,0.00,5.65,0.163,0.132
1990-08-08,23.3,0.00,5.36,0.163,0.132
1990-08-09,23.5,0.00,5.30,0.163,0.132
1990-08-10,24.7,0.00,5.41,0.163,0.132
1990-08-11,25.1,0.00,5.47,0.163,0.132
1990-08-12,25.0,0.00,5.41,0.162,0.132
1990-08-13,24.6,0.00,5.06,0.162,0.132
1990-08-14,24.3,0.00,5.39,0.162,0.132
1990-08-15,23.7,0.00,5.36,0.162,0.132
1990-08-16,23.7,0.00,5.28,0.161,0.132
1990-08-17,24.2,0.00,5.54,0.161,0.132
1990-08-18,24.3,0.00,5.19,0.161,0.132
1990-08-19,23.8,0.00,4.61,0.161,0.132
1990-08-20,23.2,0.00,4.83,0.161,0.132
1990-08-21,23.1,0.00,4.92,0.160,0.132
1990-08-22,22.8,0.00,5.06,0.160,0.132
1990-08-23,23.3,0.00,5.14,0.160,0.132
1990-08-24,24.2,0.00,5.10,0.160,0.132
1990-08-25,24.9,0.00,5.54,0.160,0.132
1990-08-26,25.0,0.00,5.49,0.160,0.132
1990-08-27,27.5,0.00,6.65,0.159,0.132
1990-08-28,25.6,0.00,5.51,0.159,0.132
1990-08-29,23.3,0.00,4.77,0.159,0.132
1990-08-30,23.2,0.00,4.56,0.159,0.132
1990-08-31,22.9,0.00,4.83,0.159,0.133
1990-09-01,22.8,0.00,4.88,0.159,0.132
1990-09-02,23.1,0.00,4.79,0.158,0.132
1990-09-03,23.6,0.00,3.59,0.158,0.133
1990-09-04,24.2,0.00,3.73,0.158,0.134
1990-09-05,24.2,0.00,3.53,0.158,0.134
1990-09-06,23.5,0.00,3.82,0.158,0.134
1990-09-07,22.5,0.00,3.53,0.158,0.134
1990-09-08,21.9,0.00,3.20,0.158,0.134
1990-09-09,21.9,0.00,4.56,0.158,0.134
1990-09-10,23.0,0.30,4.25,0.158,0.134
1990-09-11,24.3,0.00,4.32,0.158,0.136
1990-09-12,23.8,0.00,4.50,0.158,0.135
